"","alpha","b_mkt","b_smb","b_hml","ivol","tvol","exret","exret_sq","Direction"
"341",4e-04,1.0986,-0.2026,-0.2008,0.009195,0.012382,0.003096,5.80644e-05,"0"
"342",3e-04,1.0987,-0.2082,-0.2051,0.009208,0.012378,-0.00762,2.10681e-05,"0"
"343",3e-04,1.0992,-0.2146,-0.2059,0.009209,0.012381,-0.00459,4.4689225e-05,"1"
"344",3e-04,1.1033,-0.2176,-0.2111,0.009218,0.012429,0.006685,3.62404e-07,"1"
"345",4e-04,1.1015,-0.2166,-0.2127,0.009216,0.012401,0.000602,0.000106626276,"1"
"346",4e-04,1.103,-0.2058,-0.205,0.009235,0.012419,0.010326,0.000188183524,"1"
"347",5e-04,1.1036,-0.1998,-0.1928,0.009267,0.012439,0.013718,2.6873856e-05,"1"
"348",5e-04,1.0988,-0.2075,-0.1926,0.009256,0.012396,0.005184,6.2932489e-05,"0"
"349",5e-04,1.0998,-0.2052,-0.191,0.009268,0.012398,-0.007933,3.0713764e-05,"0"
"350",5e-04,1.1014,-0.2011,-0.1895,0.009274,0.012411,-0.005542,2.4780484e-05,"0"
"351",5e-04,1.1062,-0.1995,-0.1893,0.009278,0.012458,-0.004978,2.116e-07,"0"
"352",5e-04,1.1053,-0.2008,-0.1891,0.009278,0.012462,-0.00046,1.225e-07,"1"
"353",5e-04,1.1051,-0.202,-0.1872,0.009275,0.012458,0.00035,2.4850225e-05,"0"
"354",5e-04,1.1073,-0.2026,-0.1881,0.009282,0.012477,-0.004985,6.770404e-06,"1"
"355",4e-04,1.1069,-0.1986,-0.1911,0.009278,0.012474,0.002602,1.5000129e-05,"1"
"356",5e-04,1.1071,-0.1975,-0.1849,0.009279,0.012474,0.003873,1.3505625e-05,"0"
"357",5e-04,1.1065,-0.2028,-0.1852,0.009283,0.012474,-0.003675,5.59504e-07,"0"
"358",3e-04,1.1026,-0.2132,-0.1877,0.009046,0.012295,-0.000748,4.0870449e-05,"0"
"359",4e-04,1.1127,-0.1731,-0.1799,0.008913,0.012244,-0.006393,1.0523536e-05,"1"
"360",4e-04,1.1109,-0.1737,-0.1802,0.008914,0.012243,0.003244,9.2416e-06,"0"
"361",4e-04,1.1106,-0.1648,-0.184,0.00891,0.012242,-0.00304,1.45924e-05,"1"
"362",4e-04,1.1133,-0.1657,-0.1816,0.008903,0.012273,0.00382,3.594816e-06,"0"
"363",5e-04,1.1105,-0.1682,-0.1878,0.008888,0.012249,-0.001896,1.674436e-06,"0"
"364",4e-04,1.1121,-0.17,-0.1897,0.008889,0.012258,-0.001294,1.3111641e-05,"1"
"365",5e-04,1.1119,-0.1708,-0.193,0.008883,0.012258,0.003621,1.4584761e-05,"0"
"366",5e-04,1.1092,-0.167,-0.2161,0.008846,0.012234,-0.003819,4.761124e-06,"0"
"367",4e-04,1.1033,-0.1939,-0.2563,0.00872,0.012134,-0.002182,2.859481e-06,"1"
"368",3e-04,1.0905,-0.1792,-0.2509,0.008562,0.011961,0.001691,2.5351225e-05,"1"
"369",3e-04,1.0877,-0.172,-0.2514,0.008533,0.011932,0.005035,9.3025e-08,"0"
"370",3e-04,1.0889,-0.1669,-0.2451,0.008485,0.011907,-0.000305,6.4513024e-05,"0"
"371",3e-04,1.0882,-0.1705,-0.2553,0.008497,0.011917,-0.008032,7.6877824e-05,"0"
"372",2e-04,1.0961,-0.1667,-0.2526,0.008509,0.011973,-0.008768,0.000113742225,"1"
"373",3e-04,1.0944,-0.1591,-0.2531,0.008532,0.011981,0.010665,8.2369e-06,"0"
"374",2e-04,1.0951,-0.1583,-0.2577,0.008519,0.011978,-0.00287,1.943236e-06,"0"
"375",3e-04,1.0984,-0.1501,-0.2595,0.00849,0.012072,-0.001394,3.5307364e-05,"1"
"376",3e-04,1.0992,-0.1463,-0.2635,0.00849,0.012083,0.005942,6.6846976e-05,"0"
"377",3e-04,1.0961,-0.1339,-0.2599,0.008506,0.012076,-0.008176,1.16281e-05,"0"
"378",3e-04,1.0963,-0.1312,-0.2587,0.008508,0.012079,-0.00341,9.025e-07,"0"
"379",3e-04,1.0952,-0.1328,-0.2595,0.008505,0.012068,-0.00095,6.4866916e-05,"0"
"380",3e-04,1.0898,-0.1414,-0.2505,0.008503,0.01203,-0.008054,0.000104080804,"1"
"381",3e-04,1.0825,-0.1342,-0.2656,0.008504,0.012043,0.010202,6.25e-08,"1"
"382",3e-04,1.0844,-0.139,-0.268,0.008494,0.012044,0.00025,8.714304e-06,"1"
"383",3e-04,1.087,-0.1369,-0.27,0.008495,0.012089,0.002952,8.363664e-06,"0"
"384",3e-04,1.0848,-0.1341,-0.2646,0.008496,0.012103,-0.002892,2.5250625e-05,"1"
"385",3e-04,1.0868,-0.1326,-0.2617,0.0085,0.012114,0.005025,2.595321e-06,"1"
"386",3e-04,1.0866,-0.1372,-0.2553,0.008499,0.012103,0.001611,7.43044e-07,"1"
"387",4e-04,1.0909,-0.1493,-0.245,0.008454,0.012101,0.000862,2.676496e-06,"0"
