Date,VTI,VXUS,BND,BNDX,VUG,VTV,QQQ,XLE,RM-Rf,SMB,HML,RMW,CMA,ETH,ETH_V,BTC,BTC_V
10/21/2015,-0.787711871,-0.467168354,0.182909002,0.151012845,-0.699423626,-0.642106271,-0.611981733,-1.242093307,-0.74,-0.91,-0.21,0.46,0.16,2.834149143,609085,-1.19127839,25637300
10/22/2015,1.455267402,1.479030901,0.170397136,0.339027032,1.543534963,1.682960732,2.016374591,1.78431702,1.5,-0.76,0.34,0.04,0.51,23.83022914,924822,2.869372698,37808600
10/23/2015,1.04006222,0.731355361,-0.255715418,0,1.160728751,0.993926843,2.759861658,-0.234125543,1.09,-0.03,-0.55,0.2,-0.66,-5.06628806,878822,0.898428058,29442500
10/26/2015,-0.235404896,-0.542813816,0.109672809,-0.037651692,-0.018456883,-0.374567918,0.062041231,-2.47696924,-0.2,-0.44,-0.72,0.23,-0.1,30.39132657,1089120,3.134485461,32108800
10/27/2015,-0.330554226,-0.925332595,0.024325784,0.244242971,-0.157094244,-0.303132891,0.203601597,-1.208615566,-0.42,-1.06,-0.92,-0.41,-0.5,17.32334645,1846370,2.931718221,46331800
10/28/2015,1.30635631,0.526799317,-0.280425416,-0.018801225,1.039607793,1.326914588,0.82783579,2.194888664,1.43,1.52,0.67,-0.68,-0.15,14.2151726,2373050,3.620017035,50808100
10/29/2015,-0.149503258,-0.886623053,-0.354699317,-0.319516382,0.319815779,-0.384179839,-0.157997544,0.504324616,-0.2,-0.83,-0.08,0.37,-0.28,18.53792824,2279240,2.987256214,64495900
10/30/2015,-0.384127006,-0.148555366,0.220291248,0.112909738,-0.292371032,-0.615388044,-0.44897997,0.648845554,-0.42,0.18,-0.56,0.35,0.11,-14.74631097,2429200,4.412825391,78305000
11/2/2015,1.305606862,1.077208085,-0.197457572,-0.243232249,1.182489238,1.274832034,1.123086349,2.310342547,1.25,0.9,-0.02,-0.55,0.05,-5.065659244,1145200,9.634196842,101918000
11/3/2015,0.24986424,0.356503612,-0.171982624,-0.07556246,0.198725406,0.214871767,0.348434351,2.524555937,0.32,0.43,0.25,0,-0.12,2.353503208,1907690,11.05693934,206162000
11/4/2015,-0.24058348,-0.587848347,0.061465968,-0.226989718,-0.144495582,-0.310534287,0.008673933,-0.900374716,-0.26,0.18,-0.32,-0.61,-0.69,-11.96881709,3060340,1.999133107,263900000
11/5/2015,-0.111250125,-0.400875169,-0.184531506,0.094654382,-0.226203438,-0.131663137,-0.269866814,-0.851548539,-0.08,0.05,0.5,0.02,0.16,-0.380345332,1179840,-6.320801968,151824992
11/6/2015,0.018555801,-0.593744451,-0.394760949,-0.379117475,-0.099674617,0.071828958,0.069710055,-0.514443158,0.14,0.9,0.3,-0.52,-0.13,3.337359433,913666,-3.124236238,122687000
11/9/2015,-1.006517745,-1.069067772,-0.086559688,-0.037940449,-0.956591649,-0.950015328,-1.068506624,-0.993434386,-0.95,-0.3,-0.03,-0.63,-0.05,7.612422693,2045290,1.533561537,68224400
11/10/2015,0.224557008,-0.258273391,0.111243025,0.227683152,0.064054998,0.265471224,-0.255681516,0.216786227,0.13,-0.01,0.22,-0.13,0.21,-6.718405837,854581,-12.13016169,95797904
11/11/2015,-0.430846595,0.322726854,0.012372595,0.113663594,-0.366606667,-0.325935525,-0.12364861,-2.145293302,-0.43,-0.55,-0.18,-0.07,0.11,-16.55035004,1278580,-7.948267369,107070000
11/12/2015,-1.503644278,-1.10165834,0.012425928,0.037882092,-1.256602158,-1.559647043,-0.976997639,-2.297898867,-1.45,-0.58,-0.41,0.15,-0.27,12.32723569,806156,8.343250181,78477800
11/13/2015,-1.063257036,-0.982204871,0.18513602,0.189064679,-1.489411834,-0.714841652,-1.983121186,-0.408396125,-1.07,0.32,0.35,-0.54,0.39,0.931773314,543671,-0.414582499,52003000
11/16/2015,1.443640286,1.372444374,0,0.132135481,1.340533112,1.595112347,1.42819242,3.279972158,1.39,-0.54,0.48,0.17,-0.17,2.713228433,620945,-1.798384962,47980100
11/17/2015,-0.12345036,0.216123081,0.110919617,0.056555293,0.074463095,-0.207128752,0.062804871,-1.106124972,-0.11,-0.22,-0.64,0.03,-0.16,8.163577339,1145440,1.304522399,51001600
11/18/2015,1.584041664,0.924013937,-0.0492909,0.150714214,1.688461463,1.453142861,1.90126833,1.632753771,1.61,-0.02,-0.07,-0.13,-0.32,-1.465174597,681104,-0.150518185,43783800
11/19/2015,-0.131040688,0.512067013,0.135444453,0.056504446,-0.064054029,-0.08417067,0.07037886,-1.351366233,-0.13,-0.26,-0.16,0.18,0.08,-3.878360776,443528,-2.555159742,45011100
11/20/2015,0.42994398,0,-0.024604645,-0.056504446,0.711567929,0.072155853,0.674867991,-1.070473321,0.35,0.41,-0.38,0.29,0.04,-3.256100615,614335,-1.27344168,53152900
11/23/2015,-0.102660544,-0.919272701,0.036949998,-0.018802008,-0.109157461,-0.180509905,-0.288653359,0.714888551,-0.01,0.6,-0.35,0.08,-0.14,2.355911041,441875,0.317482148,27478900
11/24/2015,0.261070794,0.193072545,0.036847221,0.131744832,0.054581976,0.276645695,-0.087642026,2.114630001,0.21,0.74,0.25,0.18,0.13,-5.065939467,524195,-0.932999277,29362600
11/25/2015,0.074474645,0,0.012314846,0.075166811,0.190818632,-0.120210578,0.087642026,-0.817049601,0.09,0.85,-0.55,-0.1,-0.07,-4.157021749,622991,2.517673753,41666900
11/27/2015,0.148775848,-0.429628991,0.049195377,0.056340718,0.045376392,0.1322012,0.14005297,-0.720458851,0.09,0.21,-0.29,-0.15,0.07,0.509851591,403813,8.700883387,55179100
11/30/2015,-0.428312035,0.043051906,-0.049195377,-0.093905323,-0.691975613,-0.228439999,-0.254016867,0.368250016,-0.47,0.2,0.67,-0.23,0.03,0.593659667,784439,5.244604554,71701600
12/1/2015,0.938017053,1.027625952,0.377692141,0.282124329,0.936657798,1.06568889,0.994860527,0.790758058,0.97,-0.63,0.25,-0.08,-0.12,0.192343068,652857,-4.010493154,60452200
12/2/2015,-1.050042978,-1.092210763,-0.12289391,-0.056396573,-0.927521993,-1.186127656,-0.618466267,-3.140999015,-1.01,0.2,-0.7,0.05,-0.08,-6.321642643,506307,-0.914821196,54160500
12/3/2015,-1.505925796,-0.453227049,-0.77752505,-0.963102796,-1.602391745,-1.359076587,-1.70954105,-2.022137171,-1.5,-0.18,0.39,0.33,0.25,-1.110242934,539969,0.51621687,50714900
12/4/2015,1.823013263,0.818626915,0.395733638,0,1.921638691,1.935918173,2.310645129,-0.631694234,1.87,-1.04,-0.48,0.14,-0.33,3.377426714,241278,0.590153167,35784100
12/7/2015,-0.785257685,-1.035143053,0.172614036,0.567668858,-0.657847408,-0.649213779,-0.452636734,-3.876309214,-0.84,-0.88,-0.67,0.71,0.12,-3.485717498,520409,8.533495688,63455800
12/8/2015,-0.602456681,-1.507097788,0.024638331,0.056587914,-0.201861836,-1.006111186,0.008696116,-1.033603058,-0.59,0.25,-1.2,-0.17,-0.65,1.329041188,445903,4.939236358,57801400
12/9/2015,-0.862943301,-0.286489938,-0.03694756,0,-1.182686639,-0.415106204,-1.529549752,1.30635192,-0.83,-0.23,0.39,0.5,0.55,-3.711170889,624221,0.48012039,90917200
12/10/2015,0.294809094,-0.154615102,-0.012323678,-0.075412769,0.278463746,0.219965978,0.450733441,0.638879924,0.3,0.1,-0.24,0.12,-0.15,5.910098115,369589,-0.500332124,52138900
12/11/2015,-1.985221471,-2.122265223,0.270720544,0.150871188,-2.164333149,-1.872878609,-2.328466351,-3.813223257,-2.03,-0.2,-0.06,0.21,0.29,10.10554301,801072,8.41128946,110944000
12/14/2015,0.357753066,0.360588317,-0.468081739,-0.16977016,0.538403113,0.483937518,0.755311963,0.52787559,0.29,-1.11,-0.17,0.12,-0.38,6.582417947,563436,-1.731057162,130496000
12/15/2015,1.065613646,0.784342489,-0.111205195,-0.207829031,0.685362552,1.364510333,0.60731881,2.486124071,1.1,0.19,0.79,-0.79,0.01,2.105328332,578618,4.649311598,83121104
12/16/2015,1.441079795,2.010858035,-0.111295806,-0.056799937,1.449025453,1.454583673,1.475992781,-0.660182546,1.47,0.01,-0.67,-0.14,-0.12,-2.290793186,320767,-2.257518859,107944000
12/17/2015,-1.47926036,-1.432183654,0.210118331,0.151322784,-1.536359431,-1.442351116,-1.467082277,-2.48623007,-1.46,0.33,-0.36,-0.23,0.01,-5.227282833,640765,0.251152259,47978400
12/18/2015,-1.715049488,-0.735061538,0.222067543,0.264197325,-1.792619005,-1.773675319,-1.936894717,-1.766924561,-1.7,0.7,-0.36,-0.3,0.25,-2.211363802,300787,1.639276281,60220100
12/21/2015,0.791445758,0.68933162,-0.110983637,0.094169608,0.762710587,0.75826858,1.104691226,0.10200842,0.74,-0.17,-0.08,-0.13,0.08,-2.126064073,549113,-5.537984735,77639696
12/22/2015,0.897747179,0.669029614,-0.135784705,-0.094169608,0.766363636,1.099643561,0.655211864,1.165671728,0.89,0,0.51,0.21,0.45,-4.144452549,454249,-0.472348004,50840400
12/23/2015,1.241513326,1.675159145,0.012427497,-0.160746197,0.994081877,1.427466685,0.739787146,4.258041307,1.3,0.23,0.56,-0.01,0.16,-0.711269872,334993,1.326342335,47161400
12/24/2015,-0.123469291,-0.1750173,0.074299413,0,-0.121381037,-0.181849543,-0.017764553,-0.905424855,-0.11,0.27,-0.02,-0.2,0.12,0.602439808,354646,2.804770554,57157200
12/28/2015,-0.218783331,-0.372918079,0,0.340068242,-0.046704931,-0.352590499,-0.0532912,-1.835814623,-0.28,-0.52,-0.35,0.1,-0.07,-2.137569263,235134,-7.459820433,49638600
12/29/2015,1.061037472,0.875278117,-0.309915428,-0.472647679,1.124689922,0.921369621,1.560678893,0.692395708,1.05,0.03,-0.29,0.01,-0.32,3.26548651,215742,2.50322568,51596500
12/30/2015,-0.756725871,-0.809370941,0.062045832,0.03791674,-0.695631968,-0.70240788,-0.905241355,-1.356291421,-0.74,-0.17,-0.15,0.07,0.17,4.359652679,604078,-1.480479534,46889400
12/31/2015,-0.973208232,-0.926765288,0.198324069,0.170306588,-0.982122451,-0.940105579,-1.252615056,0.448610506,-0.92,-0.23,0.23,-0.12,0.09,2.339201755,663994,0.920923668,45996600
1/4/2016,-1.506995688,-1.744230343,-0.049568646,0.207831181,-1.725465048,-1.221823433,-2.132365499,-0.033176227,-1.59,-0.76,0.52,0.35,0.4,2.218073563,346245,0.584496228,38477500
1/5/2016,0.22363047,-0.18061802,0.123849677,-0.056631618,0.019119643,0.322315855,-0.173663043,0.380707787,0.12,-0.24,0.01,0.07,0.31,-0.451945897,219833,-0.261490398,34522600
1/6/2016,-1.349266785,-1.709427067,0.444448105,0.376926269,-1.105603633,-1.43366413,-0.965199278,-3.925391402,-1.35,-0.22,0,0.16,0.05,0.071960766,308791,-0.663130067,34042500
1/7/2016,-2.481559345,-2.090695558,0.012282695,-0.150587714,-2.605191184,-2.363232481,-3.181426984,-2.470094925,-2.44,-0.29,0.09,0.52,0.36,-0.935625583,647462,6.527232099,87562200
1/8/2016,-1.146818873,-1.180646681,0.123067349,-0.018861513,-0.937114851,-1.189890333,-0.823456423,-1.293998815,-1.11,-0.51,-0.04,0.25,0.06,4.644565503,545600,-1.057424368,56993000
1/11/2016,-0.061242705,0.213545767,-0.419106725,-0.113109533,0.100120781,-0.065035256,0.307196525,-2.164193811,-0.06,-0.61,0.38,0.69,0.33,7.307624557,1011920,-1.065159361,40450000
1/12/2016,0.681945159,0.236749939,0.259130883,0.131971046,0.916335398,0.610036639,1.153099265,0.236729446,0.72,-0.47,-0.79,-0.08,-0.38,7.212786684,2898760,-2.881716769,115607000
1/13/2016,-2.61034276,-1.380970527,0.246115573,0.225810426,-3.029778816,-2.10534767,-3.509799129,-2.430185349,-2.67,-0.61,0.81,0.4,0.63,-1.394427325,1005910,-0.764696527,173888000
1/14/2016,1.519023427,1.333660364,-0.123025718,-0.320119487,1.531412767,1.61239452,2.107189834,4.214809497,1.65,-0.05,-0.38,-0.6,-0.41,5.564791231,751961,-0.47874371,43945500
1/15/2016,-2.124798402,-3.932474508,0.172173085,0.131987363,-2.064251868,-2.182265184,-3.152882945,-2.937139379,-2.14,0.39,-0.24,0.37,0.45,1.536566768,3910550,-16.64338049,153351008
1/19/2016,-0.104792558,1.174213117,-0.122943776,-0.301788384,0.010292148,0.013289003,0.217929046,-2.176180906,-0.2,-1.36,-0.05,0.35,0.24,12.68504464,2446740,4.250046831,46819800
1/20/2016,-0.990637999,-2.486905922,0.110637053,0.301788384,-0.752796179,-1.540096276,-0.307208182,-2.687201217,-0.94,1.75,-1.25,0.1,-0.52,11.06317469,2933220,10.02389597,121720000
1/21/2016,0.391118074,0.844069114,-0.061476286,0.094084788,0.485323112,0.457833628,0.099204042,3.062564524,0.45,-0.47,-0.01,0.48,0.63,1.409893744,1614960,-2.400624368,68338000
1/22/2016,2.108621657,2.947509375,-0.036863303,-0.207172966,2.37173577,1.757702937,2.854255782,4.326186574,2.08,0.13,-0.21,-0.47,-0.65,-3.424409182,1567240,-7.008821446,91546600
1/25/2016,-1.656032857,-1.694558424,0,0.244812292,-1.336744593,-1.757702937,-1.495172685,-4.776790467,-1.71,-0.54,-0.96,0.32,0,50.96872727,10739300,2.385490051,59062400
1/26/2016,1.511330408,1.91033744,0.147457434,-0.075290698,1.024405916,1.704905062,0.89591112,3.712693978,1.52,0.6,1.16,0.62,0.62,-9.341662028,13939200,0.108945903,58147000
1/27/2016,-1.1444211,-0.480188277,0,0.30071935,-1.791924027,-0.516418599,-2.523076734,-0.472590944,-1.11,-0.42,1.68,-0.17,0.91,4.810441831,6961080,0.716273032,47424400
1/28/2016,0.396819501,0.647722824,0.073614437,0.206250719,0.532768112,0.423925621,1.401935739,2.99710547,0.49,-0.55,1.25,-0.29,-0.45,5.614450043,4903850,-3.788334572,59247900
1/29/2016,2.450193629,1.965253138,0.294134726,0.317822374,2.163235802,2.596501749,2.066719843,2.875495309,2.57,0.59,0.42,-0.02,0.4,-1.255829069,6662340,-0.214541196,86125296
2/1/2016,0.020342856,-0.422941207,-0.203735097,-0.007491626,0.239734962,-0.167532311,0.268556434,-1.680419731,-0.04,-0.29,-1,0.1,-0.36,-12.05157678,3994100,-1.705753823,51656700
2/2/2016,-1.950768225,-2.310447919,0.343443589,0.168058436,-1.771427712,-1.993719456,-2.188311478,-3.393759648,-2,-0.15,-0.36,0.28,0.39,9.809355826,3451270,0.372439375,40378700
2/3/2016,0.599532049,1.269025839,0.073447829,0.149117224,0.243430731,0.812714621,-0.480840332,3.498519932,0.46,-0.25,0.45,0.4,0.32,3.585089464,3987750,-1.208776436,45933400
2/4/2016,0.236767058,0.474725656,0.073349941,0,0.081003819,0.32581538,-0.009845822,-0.052379876,0.27,0.31,0.37,0.21,0,1.932803822,3552320,5.173998402,69285504
2/5/2016,-2.07779432,-1.35892907,-0.097867268,0.018676071,-3.031323708,-1.112223259,-3.534431006,-2.34971934,-2.06,-0.73,1.64,1.04,1.18,-1.526305614,2636700,-0.784648861,43825000
2/8/2016,-1.565821174,-1.792255687,0.427411457,0.186048613,-1.959581671,-1.08478947,-1.540546571,-0.519745817,-1.51,0.14,0.83,1.7,0.86,22.50487927,9725690,-3.448259777,47671100
2/9/2016,-0.128027874,-1.377983968,-0.012193065,0.055733309,0.04252175,-0.119776154,-0.310981346,-2.437350864,-0.09,-0.55,-0.26,-0.05,0.05,24.05773909,17954000,0.689017733,55318500
2/10/2016,0.06400188,-0.024767479,0.207019499,-0.111545997,0.371543058,-0.253354598,0.383389412,-0.405927081,0.01,-0.2,-0.53,-0.28,-0.69,9.241913135,28640400,1.483505718,85130896
2/11/2016,-1.245438945,-1.548506726,0.06075393,0.148698965,-0.883304766,-1.655838917,-0.144893543,-0.426112748,-1.17,0.3,-1.48,0.39,-0.27,30.41287434,26408200,-0.524101342,74375600
2/12/2016,1.926004306,1.647571799,-0.32864644,-0.42810427,1.737872032,2.215026582,1.511057896,2.602275064,1.98,-0.28,1.11,-0.43,0.21,-8.068678704,23360800,1.206692344,67042800
2/16/2016,1.806420762,2.058397305,-0.146520677,0.055958283,1.924843777,1.52835982,2.229591547,0.990044099,1.78,0.55,-0.56,0.02,-0.24,-25.10891058,15889100,5.868428759,73093104
2/17/2016,1.64132143,1.921748171,-0.024427059,0.074535027,1.969364287,1.479580245,2.239518036,3.225237431,1.75,-0.14,-0.65,-0.41,-0.38,-13.84798844,15451000,2.144747612,83193600
2/18/2016,-0.400082329,-0.42917116,0.341485071,0.223322693,-0.832008622,-0.141794794,-1.148005713,-1.256580231,-0.51,-0.02,0.2,0.41,0.48,15.77221488,17054000,1.442979906,76752600
2/19/2016,0.02053618,-0.359080795,-0.134040769,0.092860626,0.284869797,-0.206681111,0.295621158,-0.228553323,0.06,0.27,-0.58,-0.64,-0.38,7.418509482,7666320,-0.376675284,55711300
2/22/2016,1.448867734,1.120794728,0.024376445,0.092831027,1.452368741,1.386593242,1.610496128,2.520322795,1.43,-0.18,0.28,0.21,-0.26,17.01168052,15056200,3.952134645,85385200
